fips,state,county,total_population,nonwhite_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,lesscollege_pct
1001,Alabama,Autauga,55049,24.3165180112264,51.1762248178895,40.0370578938764,13.9784555577758,53099,5.59165726292852,75.4072286513465
1003,Alabama,Baldwin,199510,16.8212119693248,51.1949275725528,35.4744123101599,18.7148513858954,51365,6.28684322938915,70.4528889714604
1005,Alabama,Barbour,26614,54.1143758923875,46.4980837153378,37.6643871646502,16.5288945667694,33956,12.8247382706475,87.1322129765595
1007,Alabama,Bibb,22572,25.2348041821726,46.4646464646465,37.3294346978558,14.8856990962254,39776,7.14682672001778,88
1009,Alabama,Blount,57704,12.3422986274782,50.4852349923749,37.2400526826563,17.1929155691113,46212,5.95383275261324,86.950243210377
1011,Alabama,Bullock,10552,78.316906747536,45.8017437452616,37.9359363153904,15.1345716451857,29335,13.2585203657523,89.744988408564
1013,Alabama,Butler,20280,47.2189349112426,53.0473372781065,37.0562130177515,18.1262327416174,34315,9.80482734726874,83.9199942648219
1015,Alabama,Calhoun,115883,27.0022350129009,51.8980350871137,38.7830829371004,15.9307232294642,41954,11.6818215976554,82.3470334727502
1017,Alabama,Chambers,34018,43.2565112587454,52.0871303427597,35.8721853136575,18.387324357693,36027,7.489945275928,87.515720633856
1019,Alabama,Cherokee,25897,8.12835463567208,50.2529250492335,32.7103525504885,20.3228173147469,38925,5.85573104276346,86.0383010591634
1021,Alabama,Chilton,43817,19.3897345779036,50.7976356208777,38.8342424173266,15.2497888947212,42594,7.93858045646838,85.1454514881453
1023,Alabama,Choctaw,13287,43.7946865357116,52.2164521712953,33.4010687137804,20.7496048769474,32622,13.6428137036286,88.0397967823878
1025,Alabama,Clarke,24847,46.8225540306677,52.7588843723588,36.6040165814786,18.0625427617016,32735,17.0833333333333,87.8627658324521
1027,Alabama,Clay,13483,19.7359638062746,51.5538084995921,34.8438774753393,19.4022101906104,38815,6.59153005464481,88.9371162396782
1029,Alabama,Cleburne,14991,7.20432259355613,50.4836235074378,36.1416850110066,18.1642318724568,36316,7.17360114777618,88.4719274551418
1031,Alabama,Coffee,50991,28.6285815143849,50.5599027279324,38.4813006216783,15.7831774234669,47872,6.19426261916268,76.3332755532443
1033,Alabama,Colbert,54377,21.1468083932545,51.687294260441,35.5885760523751,18.4526546150027,43786,7.52588989979456,81.5290951373102
1035,Alabama,Conecuh,12697,49.2793573285028,52.524218319288,35.6540915176813,20.2646294400252,27609,20.4278523489933,91.3374205267938
1037,Alabama,Coosa,10864,34.9779086892489,50.7087628865979,31.0843151693667,18.6671575846834,31910,12.5758282781148,90.0594410016441
1039,Alabama,Covington,37729,16.4859922075857,51.7108855257229,35.3441649659413,20.1781123273874,37313,10.6594902251918,85.0785142684584
1041,Alabama,Crenshaw,13896,29.1306850892343,50.61168681635,36.8955094991364,17.5086355785838,37557,7.35557363710334,85.352319128887
1043,Alabama,Cullman,81316,7.53603226917213,50.5632347877416,36.9324610162822,17.7517339760933,39297,6.06475679771515,85.0309820144523
1045,Alabama,Dale,49607,29.8082931844296,50.726711955974,39.982260568065,15.4292740943818,44093,10.3924418604651,83.9313011419836
1047,Alabama,Dallas,41426,71.9306715589243,53.8260995510066,40.6990778737991,15.6761454159224,28136,14.8970170454545,86.2156964272505
1049,Alabama,DeKalb,70937,18.9844509917251,50.4715451738867,39.0459139800104,15.5320918561541,38248,6.33996117024838,88.6340640809444
1051,Alabama,Elmore,80957,26.3114986968391,51.3976555455365,38.6637350692343,13.8876193534839,53398,7.47316153013953,77.761601455869
1053,Alabama,Escambia,37875,39.4059405940594,48.8052805280528,37.7372937293729,16.6574257425743,32334,15.2370842179759,88.3743498175607
1055,Alabama,Etowah,103363,21.5686464208663,51.6200187688051,36.3573038708242,17.3630796319766,40478,8.45582563853935,83.5081455032359
1057,Alabama,Fayette,16783,14.7708991241137,50.4796520288387,34.8149913603051,19.5495441816123,36205,8.77476155539252,85.8546501778757
1059,Alabama,Franklin,31573,21.9269629113483,50.7395559497039,39.460931808824,16.0358534190606,36138,9.71294324939432,87.6099006116208
1061,Alabama,Geneva,26765,15.9387259480665,51.1600971417896,35.2736783112273,18.9501214272371,36519,10.3151610920902,88.3382079234246
1063,Alabama,Greene,8587,82.8578083148946,52.3465703971119,37.6033539070688,18.0039594736229,21339,18.1533101045296,90.0251466890193
1065,Alabama,Hale,15159,60.0303450095653,53.0246058447127,38.0170195923214,17.6594762187479,33351,12.0593368237347,85.9712581875061
1067,Alabama,Henry,17187,31.4365508814802,51.7018676906965,33.6184325362192,20.6318729272124,41045,7.52984389348026,83.855658293102
1069,Alabama,Houston,103891,32.5475738995678,52.0824710513904,38.3979362986207,16.0485508850622,41945,8.06925498426023,78.9820976926229
1071,Alabama,Jackson,52608,10.5079075425791,51.0283607055961,34.8426094890511,18.4515663017032,38422,8.60941586748038,87.421536140521
1073,Alabama,Jefferson,659096,49.3290810443395,52.6668345734157,39.6523419957032,14.3100549844029,47220,8.21716620076396,68.559752699525
1075,Alabama,Lamar,14066,13.8632162661738,51.5640551684914,34.0892933314375,20.2189677235888,34298,9.52548330404218,86.9373874774955
1077,Alabama,Lauderdale,92641,15.0084735700176,52.2230977644887,37.8029166351831,18.3126261590441,43657,7.64039130843759,78.3207702540065
1079,Alabama,Lawrence,33433,23.342206801663,51.329524721084,35.8687524302336,16.1517063978704,42339,8.31517792302106,89.6913817390191
1081,Alabama,Lee,153947,32.1324871546701,50.6148219841894,49.202647664456,10.3210845290912,45056,6.07052896725441,65.5878533613026
