gm,gemeente,voorzieningen_fysiek,sociale_cohesie,cijfer_leefbaarheid,overlast_sociaal,cijfer_veiligheid,voelt_discriminatie,slachtoffers_criminaliteit,slachtoffers_geweld
GM0394,Haarlemmermeer,6.5,6.4,7.6,9,7.5,7.4,15.7,3.9
GM0917,Heerlen,5.7,5.7,6.8,17.7,6.7,9.2,14.7,4.6
GM0794,Helmond,6.5,6,7.4,16.4,7.1,11.2,14.9,3.3
GM0164,Hengelo,6.3,6,7.4,6.1,7.4,6.7,13.8,3.4
GM0796,'s-Hertogenbosch,6.6,6.4,7.6,11.2,7.3,6.2,15.7,4
GM0402,Hilversum,6.6,6.2,7.5,11,7.4,10.1,16.6,4
GM1963,Hoeksche Waard,6.2,6.8,7.8,4.6,7.9,6.1,8.8,1.5
GM0405,Hoorn,6.3,6,7.3,11.2,7.2,6.5,12.7,4
GM0080,Leeuwarden,6.3,6.1,7.4,10,7.3,7.5,16.7,5.4
GM0546,Leiden,6.7,6,7.5,15.6,7.4,12.1,19.4,5.2
GM1916,Leidschendam-Voorburg,6.9,6.3,7.6,8.1,7.4,9.8,13.7,3
GM0995,Lelystad,5.9,5.9,7.3,7.4,7.3,10.9,13,5.2
GM0935,Maastricht,6.2,5.9,7.4,16.7,7.2,12.3,20.8,5.8
GM1948,Meierijstad,6.4,6.7,7.6,3.2,7.6,7.1,8.4,1.7
GM0268,Nijmegen,6.6,6,7.4,12.1,7.2,10,16.5,4.8
GM1930,Nissewaard,5.9,5.9,7.1,9.1,7,11.6,17.7,4
GM0828,Oss,6.7,6.2,7.5,6,7.3,6.9,12,3.5
GM0439,Purmerend,6.3,5.9,7.3,9.6,7.3,12.5,11,1
GM1674,Roosendaal,6,5.8,7,14.6,6.7,6.7,13.6,4
GM0599,Rotterdam,6.1,5.6,6.9,24.1,6.6,17.5,25.7,6.2
GM0606,Schiedam,6,5.5,6.8,21.7,6.6,16.4,23.2,5.2
GM1883,Sittard-Geleen,5.8,6.1,7.4,12.6,7,10.2,14.5,4.6
GM1900,Súdwest-Fryslân,6.2,6.6,7.6,6.4,7.8,5.5,6.8,1.7
GM0855,Tilburg,6.4,5.9,7.3,15.7,7.1,12.4,19.1,5.7
GM0344,Utrecht,6.7,6.1,7.4,19.6,7.1,12.3,26.5,7.2
GM0983,Venlo,6.2,6.2,7.4,15.5,7.1,10.7,17.5,4.1
GM0622,Vlaardingen,6.1,5.8,7,19,6.7,11.4,20,4.2
GM1783,Westland,6.1,6.6,7.5,4.4,7.5,6.8,10.1,2.4
GM0479,Zaanstad,6.1,6.1,7.2,13.9,7.1,12.5,19.3,5.6
GM0637,Zoetermeer,6.3,6,7.4,11.2,7.2,11.8,14.1,3
GM0193,Zwolle,6.9,6.3,7.6,9.1,7.4,8,14.1,4
GM0361,Alkmaar,6.8,6.7,7.7,15.8,7.5,13.9,22.7,8.9
GM0141,Almelo,6.5,6.5,7.6,23.7,7.3,17.7,25.6,10.5
GM0034,Almere,6.3,6.1,7.4,14.5,7.3,18.8,19.8,6.6
GM0484,Alphen aan den Rijn,6.6,6.6,7.6,11,7.6,13.6,17.9,6.3
GM0307,Amersfoort,6.9,6.6,7.8,16.5,7.5,15.4,23.9,6.8
GM0362,Amstelveen,7.3,6.5,7.8,14.1,7.7,16.3,21.6,8.1
