gm,gemeente,party,votes
GM0072,Harlingen,Partij van de Arbeid (P.v.d.A.),1044
GM0072,Harlingen,Partij voor de Dieren,345
GM0072,Harlingen,Provinciaal Belang Fryslân,210
GM0072,Harlingen,SP (Socialistische Partij),318
GM0072,Harlingen,VVD,670
GM0074,Heerenveen,50PLUS,202
GM0074,Heerenveen,"AWP voor Water, Klimaat en Natuur",164
GM0074,Heerenveen,BBB,6524
GM0074,Heerenveen,Belang van Nederland (BVNL),284
GM0074,Heerenveen,CDA,1816
GM0074,Heerenveen,ChristenUnie,1034
GM0074,Heerenveen,D66,1191
GM0074,Heerenveen,FNP,1905
GM0074,Heerenveen,Forum voor Democratie,956
GM0074,Heerenveen,GROENLINKS,1878
GM0074,Heerenveen,JA21,676
GM0074,Heerenveen,PVV (Partij voor de Vrijheid),1034
GM0074,Heerenveen,Partij van de Arbeid (P.v.d.A.),3477
GM0074,Heerenveen,Partij voor de Dieren,936
GM0074,Heerenveen,Provinciaal Belang Fryslân,712
GM0074,Heerenveen,SP (Socialistische Partij),1058
GM0074,Heerenveen,VVD,2363
GM0080,Leeuwarden,50PLUS,559
GM0080,Leeuwarden,"AWP voor Water, Klimaat en Natuur",438
GM0080,Leeuwarden,BBB,10355
GM0080,Leeuwarden,Belang van Nederland (BVNL),865
GM0080,Leeuwarden,CDA,4179
GM0080,Leeuwarden,ChristenUnie,2390
GM0080,Leeuwarden,D66,2903
GM0080,Leeuwarden,FNP,3934
GM0080,Leeuwarden,Forum voor Democratie,2072
GM0080,Leeuwarden,GROENLINKS,6931
GM0080,Leeuwarden,JA21,1850
GM0080,Leeuwarden,PVV (Partij voor de Vrijheid),2526
GM0080,Leeuwarden,Partij van de Arbeid (P.v.d.A.),9143
GM0080,Leeuwarden,Partij voor de Dieren,3112
GM0080,Leeuwarden,Provinciaal Belang Fryslân,952
GM0080,Leeuwarden,SP (Socialistische Partij),2705
GM0080,Leeuwarden,VVD,4412
GM0085,Ooststellingwerf,50PLUS,116
GM0085,Ooststellingwerf,"AWP voor Water, Klimaat en Natuur",67
GM0085,Ooststellingwerf,BBB,5557
GM0085,Ooststellingwerf,Belang van Nederland (BVNL),184
GM0085,Ooststellingwerf,CDA,831
GM0085,Ooststellingwerf,ChristenUnie,625
GM0085,Ooststellingwerf,D66,364
GM0085,Ooststellingwerf,FNP,469
GM0085,Ooststellingwerf,Forum voor Democratie,483
GM0085,Ooststellingwerf,GROENLINKS,863
GM0085,Ooststellingwerf,JA21,298
GM0085,Ooststellingwerf,PVV (Partij voor de Vrijheid),620
GM0085,Ooststellingwerf,Partij van de Arbeid (P.v.d.A.),1268
GM0085,Ooststellingwerf,Partij voor de Dieren,562
GM0085,Ooststellingwerf,Provinciaal Belang Fryslân,379
GM0085,Ooststellingwerf,SP (Socialistische Partij),483
GM0085,Ooststellingwerf,VVD,837
GM0086,Opsterland,50PLUS,109
GM0086,Opsterland,"AWP voor Water, Klimaat en Natuur",81
GM0086,Opsterland,BBB,5259
GM0086,Opsterland,Belang van Nederland (BVNL),212
GM0086,Opsterland,CDA,1091
GM0086,Opsterland,ChristenUnie,1134
GM0086,Opsterland,D66,606
GM0086,Opsterland,FNP,1682
GM0086,Opsterland,Forum voor Democratie,558
GM0086,Opsterland,GROENLINKS,1028
GM0086,Opsterland,JA21,320
GM0086,Opsterland,PVV (Partij voor de Vrijheid),637
GM0086,Opsterland,Partij van de Arbeid (P.v.d.A.),1589
GM0086,Opsterland,Partij voor de Dieren,472
GM0086,Opsterland,Provinciaal Belang Fryslân,307
GM0086,Opsterland,SP (Socialistische Partij),494
GM0086,Opsterland,VVD,975
GM0088,Schiermonnikoog,50PLUS,4
GM0088,Schiermonnikoog,"AWP voor Water, Klimaat en Natuur",0
GM0088,Schiermonnikoog,BBB,141
GM0088,Schiermonnikoog,Belang van Nederland (BVNL),3
GM0088,Schiermonnikoog,CDA,45
GM0088,Schiermonnikoog,ChristenUnie,23
GM0088,Schiermonnikoog,D66,36
GM0088,Schiermonnikoog,FNP,17
GM0088,Schiermonnikoog,Forum voor Democratie,2
GM0088,Schiermonnikoog,GROENLINKS,56
GM0088,Schiermonnikoog,JA21,19
GM0088,Schiermonnikoog,PVV (Partij voor de Vrijheid),15
GM0088,Schiermonnikoog,Partij van de Arbeid (P.v.d.A.),92
GM0088,Schiermonnikoog,Partij voor de Dieren,53
GM0088,Schiermonnikoog,Provinciaal Belang Fryslân,10
GM0088,Schiermonnikoog,SP (Socialistische Partij),21
GM0088,Schiermonnikoog,VVD,54
GM0090,Smallingerland,50PLUS,249
GM0090,Smallingerland,"AWP voor Water, Klimaat en Natuur",173
GM0090,Smallingerland,BBB,6085
GM0090,Smallingerland,Belang van Nederland (BVNL),357
GM0090,Smallingerland,CDA,2654
GM0090,Smallingerland,ChristenUnie,2703
GM0090,Smallingerland,D66,977
GM0090,Smallingerland,FNP,1595
GM0090,Smallingerland,Forum voor Democratie,1240
GM0090,Smallingerland,GROENLINKS,1799
GM0090,Smallingerland,JA21,632
GM0090,Smallingerland,PVV (Partij voor de Vrijheid),1446
GM0090,Smallingerland,Partij van de Arbeid (P.v.d.A.),2972
GM0090,Smallingerland,Partij voor de Dieren,809
GM0090,Smallingerland,Provinciaal Belang Fryslân,855
GM0090,Smallingerland,SP (Socialistische Partij),1248
GM0090,Smallingerland,VVD,1831
GM0093,Terschelling,50PLUS,18
GM0093,Terschelling,"AWP voor Water, Klimaat en Natuur",18
GM0093,Terschelling,BBB,774
GM0093,Terschelling,Belang van Nederland (BVNL),23
GM0093,Terschelling,CDA,167
GM0093,Terschelling,ChristenUnie,43
GM0093,Terschelling,D66,111
GM0093,Terschelling,FNP,63
GM0093,Terschelling,Forum voor Democratie,67
GM0093,Terschelling,GROENLINKS,129
GM0093,Terschelling,JA21,102
GM0093,Terschelling,PVV (Partij voor de Vrijheid),89
GM0093,Terschelling,Partij van de Arbeid (P.v.d.A.),634
GM0093,Terschelling,Partij voor de Dieren,116
GM0093,Terschelling,Provinciaal Belang Fryslân,42
GM0093,Terschelling,SP (Socialistische Partij),77
GM0093,Terschelling,VVD,326
GM0096,Vlieland,50PLUS,9
GM0096,Vlieland,"AWP voor Water, Klimaat en Natuur",6
GM0096,Vlieland,BBB,161
GM0096,Vlieland,Belang van Nederland (BVNL),4
GM0096,Vlieland,CDA,27
GM0096,Vlieland,ChristenUnie,11
GM0096,Vlieland,D66,39
GM0096,Vlieland,FNP,26
GM0096,Vlieland,Forum voor Democratie,14
GM0096,Vlieland,GROENLINKS,50
GM0096,Vlieland,JA21,19
GM0096,Vlieland,PVV (Partij voor de Vrijheid),23
GM0096,Vlieland,Partij van de Arbeid (P.v.d.A.),81
GM0096,Vlieland,Partij voor de Dieren,26
GM0096,Vlieland,Provinciaal Belang Fryslân,11
GM0096,Vlieland,SP (Socialistische Partij),20
GM0096,Vlieland,VVD,90
GM0098,Weststellingwerf,50PLUS,119
GM0098,Weststellingwerf,"AWP voor Water, Klimaat en Natuur",99
GM0098,Weststellingwerf,BBB,5604
GM0098,Weststellingwerf,Belang van Nederland (BVNL),187
GM0098,Weststellingwerf,CDA,981
GM0098,Weststellingwerf,ChristenUnie,372
GM0098,Weststellingwerf,D66,387
GM0098,Weststellingwerf,FNP,309
GM0098,Weststellingwerf,Forum voor Democratie,504
GM0098,Weststellingwerf,GROENLINKS,804
GM0098,Weststellingwerf,JA21,471
GM0098,Weststellingwerf,PVV (Partij voor de Vrijheid),741
GM0098,Weststellingwerf,Partij van de Arbeid (P.v.d.A.),1211
GM0098,Weststellingwerf,Partij voor de Dieren,507
GM0098,Weststellingwerf,Provinciaal Belang Fryslân,343
GM0098,Weststellingwerf,SP (Socialistische Partij),477
GM0098,Weststellingwerf,VVD,1092
GM0106,Assen,50PLUS,606
GM0106,Assen,Alliantie,165
GM0106,Assen,BBB,7108
GM0106,Assen,Belang van Nederland (BVNL),381
GM0106,Assen,CDA,1425
GM0106,Assen,ChristenUnie,3189
GM0106,Assen,D66,1598
GM0106,Assen,Forum voor Democratie,905
GM0106,Assen,GROENLINKS,2449
GM0106,Assen,JA21,846
GM0106,Assen,JEZUS LEEFT,68
GM0106,Assen,PVV (Partij voor de Vrijheid),1406
GM0106,Assen,Partij van de Arbeid (P.v.d.A.),3742
GM0106,Assen,Partij voor de Dieren,1662
GM0106,Assen,SP (Socialistische Partij),2130
GM0106,Assen,Staatkundig Gereformeerde Partij (SGP),384
GM0106,Assen,Sterk Lokaal Drenthe,972
GM0106,Assen,VVD,2658
GM0106,Assen,Volt,1477
GM0109,Coevorden,50PLUS,203
GM0109,Coevorden,Alliantie,42
GM0109,Coevorden,BBB,7933
GM0109,Coevorden,Belang van Nederland (BVNL),217
GM0109,Coevorden,CDA,1461
GM0109,Coevorden,ChristenUnie,409
GM0109,Coevorden,D66,579
GM0109,Coevorden,Forum voor Democratie,545
GM0109,Coevorden,GROENLINKS,690
GM0109,Coevorden,JA21,467
GM0109,Coevorden,JEZUS LEEFT,19
GM0109,Coevorden,PVV (Partij voor de Vrijheid),917
GM0109,Coevorden,Partij van de Arbeid (P.v.d.A.),1650
GM0109,Coevorden,Partij voor de Dieren,691
GM0109,Coevorden,SP (Socialistische Partij),702
GM0109,Coevorden,Staatkundig Gereformeerde Partij (SGP),149
GM0109,Coevorden,Sterk Lokaal Drenthe,675
GM0109,Coevorden,VVD,1561
GM0109,Coevorden,Volt,343
GM0114,Emmen,50PLUS,974
GM0114,Emmen,Alliantie,148
GM0114,Emmen,BBB,17637
GM0114,Emmen,Belang van Nederland (BVNL),788
GM0114,Emmen,CDA,3715
GM0114,Emmen,ChristenUnie,1459
GM0114,Emmen,D66,1239
GM0114,Emmen,Forum voor Democratie,1905
GM0114,Emmen,GROENLINKS,1771
GM0114,Emmen,JA21,1450
GM0114,Emmen,JEZUS LEEFT,73
GM0114,Emmen,PVV (Partij voor de Vrijheid),4680
GM0114,Emmen,Partij van de Arbeid (P.v.d.A.),5348
GM0114,Emmen,Partij voor de Dieren,1576
GM0114,Emmen,SP (Socialistische Partij),2822
GM0114,Emmen,Staatkundig Gereformeerde Partij (SGP),336
GM0114,Emmen,Sterk Lokaal Drenthe,1385
GM0114,Emmen,VVD,3109
GM0114,Emmen,Volt,774
GM0118,Hoogeveen,50PLUS,278
GM0118,Hoogeveen,Alliantie,57
GM0118,Hoogeveen,BBB,9865
GM0118,Hoogeveen,Belang van Nederland (BVNL),489
GM0118,Hoogeveen,CDA,2397
GM0118,Hoogeveen,ChristenUnie,1923
GM0118,Hoogeveen,D66,603
GM0118,Hoogeveen,Forum voor Democratie,1300
GM0118,Hoogeveen,GROENLINKS,858
GM0118,Hoogeveen,JA21,737
GM0118,Hoogeveen,JEZUS LEEFT,53
GM0118,Hoogeveen,PVV (Partij voor de Vrijheid),1901
GM0118,Hoogeveen,Partij van de Arbeid (P.v.d.A.),1847
GM0118,Hoogeveen,Partij voor de Dieren,714
GM0118,Hoogeveen,SP (Socialistische Partij),1232
GM0118,Hoogeveen,Staatkundig Gereformeerde Partij (SGP),752
GM0118,Hoogeveen,Sterk Lokaal Drenthe,583
GM0118,Hoogeveen,VVD,1672
GM0118,Hoogeveen,Volt,571
GM0119,Meppel,50PLUS,174
GM0119,Meppel,Alliantie,58
GM0119,Meppel,BBB,5010
GM0119,Meppel,Belang van Nederland (BVNL),205
GM0119,Meppel,CDA,868
GM0119,Meppel,ChristenUnie,1264
GM0119,Meppel,D66,812
GM0119,Meppel,Forum voor Democratie,527
GM0119,Meppel,GROENLINKS,1217
GM0119,Meppel,JA21,520
GM0119,Meppel,JEZUS LEEFT,12
GM0119,Meppel,PVV (Partij voor de Vrijheid),722
GM0119,Meppel,Partij van de Arbeid (P.v.d.A.),1397
GM0119,Meppel,Partij voor de Dieren,839
GM0119,Meppel,SP (Socialistische Partij),1067
GM0119,Meppel,Staatkundig Gereformeerde Partij (SGP),192
GM0119,Meppel,Sterk Lokaal Drenthe,433
GM0119,Meppel,VVD,1705
GM0119,Meppel,Volt,978
GM0141,Almelo,50PLUS,409
GM0141,Almelo,Alliantie,201
GM0141,Almelo,BBB,7853
GM0141,Almelo,Belang van Nederland (BVNL),242
GM0141,Almelo,CDA,2036
GM0141,Almelo,ChristenUnie,1212
GM0141,Almelo,D66,1026
GM0141,Almelo,Forum voor Democratie,1180
GM0141,Almelo,GROENLINKS,1875
GM0141,Almelo,JA21,1207
GM0141,Almelo,JEZUS LEEFT,32
GM0141,Almelo,PVV (Partij voor de Vrijheid),2448
GM0141,Almelo,Partij van de Arbeid (P.v.d.A.),2335
GM0141,Almelo,Partij voor de Dieren,832
GM0141,Almelo,SP (Socialistische Partij),1249
GM0141,Almelo,Samen Lokaal Twente,960
GM0141,Almelo,Staatkundig Gereformeerde Partij (SGP),194
GM0141,Almelo,VVD,2877
GM0141,Almelo,Volt,711
GM0147,Borne,50PLUS,231
GM0147,Borne,Alliantie,105
GM0147,Borne,BBB,3859
GM0147,Borne,Belang van Nederland (BVNL),111
GM0147,Borne,CDA,1291
GM0147,Borne,ChristenUnie,282
GM0147,Borne,D66,543
GM0147,Borne,Forum voor Democratie,267
GM0147,Borne,GROENLINKS,1003
GM0147,Borne,JA21,556
GM0147,Borne,JEZUS LEEFT,6
GM0147,Borne,PVV (Partij voor de Vrijheid),597
GM0147,Borne,Partij van de Arbeid (P.v.d.A.),985
GM0147,Borne,Partij voor de Dieren,341
GM0147,Borne,SP (Socialistische Partij),402
GM0147,Borne,Samen Lokaal Twente,376
GM0147,Borne,Staatkundig Gereformeerde Partij (SGP),26
GM0147,Borne,VVD,1397
GM0147,Borne,Volt,309
GM0148,Dalfsen,50PLUS,165
GM0148,Dalfsen,Alliantie,73
GM0148,Dalfsen,BBB,7682
GM0148,Dalfsen,Belang van Nederland (BVNL),140
GM0148,Dalfsen,CDA,1798
GM0148,Dalfsen,ChristenUnie,1390
GM0148,Dalfsen,D66,548
GM0148,Dalfsen,Forum voor Democratie,303
GM0148,Dalfsen,GROENLINKS,816
GM0148,Dalfsen,JA21,520
GM0148,Dalfsen,JEZUS LEEFT,22
GM0148,Dalfsen,PVV (Partij voor de Vrijheid),516
GM0148,Dalfsen,Partij van de Arbeid (P.v.d.A.),842
GM0148,Dalfsen,Partij voor de Dieren,429
GM0148,Dalfsen,SP (Socialistische Partij),272
GM0148,Dalfsen,Samen Lokaal Twente,51
