gm,gemeente,party,votes
GM0299,Zevenaar,VVD,2395
GM0299,Zevenaar,Volt,522
GM0301,Zutphen,50PLUS,402
GM0301,Zutphen,BBB,4657
GM0301,Zutphen,Belang van Nederland (BVNL),127
GM0301,Zutphen,CDA,1054
GM0301,Zutphen,ChristenUnie,862
GM0301,Zutphen,D66,1687
GM0301,Zutphen,Forum voor Democratie,742
GM0301,Zutphen,GROENLINKS,3028
GM0301,Zutphen,JA21,629
GM0301,Zutphen,Lokale Partijen Gelderland,517
GM0301,Zutphen,ONS Gelderland,123
GM0301,Zutphen,PVV (Partij voor de Vrijheid),776
GM0301,Zutphen,Partij van de Arbeid (P.v.d.A.),3172
GM0301,Zutphen,Partij voor de Dieren,2107
GM0301,Zutphen,SP (Socialistische Partij),1291
GM0301,Zutphen,Staatkundig Gereformeerde Partij (SGP),126
GM0301,Zutphen,VVD,1966
GM0301,Zutphen,Volt,913
GM0302,Nunspeet,50PLUS,203
GM0302,Nunspeet,BBB,3787
GM0302,Nunspeet,Belang van Nederland (BVNL),117
GM0302,Nunspeet,CDA,1021
GM0302,Nunspeet,ChristenUnie,2099
GM0302,Nunspeet,D66,357
GM0302,Nunspeet,Forum voor Democratie,341
GM0302,Nunspeet,GROENLINKS,420
GM0302,Nunspeet,JA21,460
GM0302,Nunspeet,Lokale Partijen Gelderland,158
GM0302,Nunspeet,ONS Gelderland,42
GM0302,Nunspeet,PVV (Partij voor de Vrijheid),571
GM0302,Nunspeet,Partij van de Arbeid (P.v.d.A.),455
GM0302,Nunspeet,Partij voor de Dieren,317
GM0302,Nunspeet,SP (Socialistische Partij),169
GM0302,Nunspeet,Staatkundig Gereformeerde Partij (SGP),4250
GM0302,Nunspeet,VVD,992
GM0302,Nunspeet,Volt,190
GM0303,Dronten,50PLUS,363
GM0303,Dronten,BBB,6020
GM0303,Dronten,Belang van Nederland (BVNL),250
GM0303,Dronten,CDA,1696
GM0303,Dronten,ChristenUnie,1601
GM0303,Dronten,D66,958
GM0303,Dronten,Forum voor Democratie,682
GM0303,Dronten,GROENLINKS,1188
GM0303,Dronten,JA21,784
GM0303,Dronten,Krachtig Flevoland,265
GM0303,Dronten,PVV (Partij voor de Vrijheid),1236
GM0303,Dronten,Partij van de Arbeid (P.v.d.A.),974
GM0303,Dronten,Partij voor de Dieren,673
GM0303,Dronten,SP (Socialistische Partij),761
GM0303,Dronten,Staatkundig Gereformeerde Partij (SGP),287
GM0303,Dronten,SterkLokaalFlevoland,501
GM0303,Dronten,VVD,2056
GM0307,Amersfoort,50PLUS,1518
GM0307,Amersfoort,BBB,7779
GM0307,Amersfoort,Belang van Nederland (BVNL),519
GM0307,Amersfoort,CDA,5955
GM0307,Amersfoort,ChristenUnie,5869
GM0307,Amersfoort,D66,7732
GM0307,Amersfoort,DENK,1595
GM0307,Amersfoort,Forum voor Democratie,1604
GM0307,Amersfoort,GROENLINKS,10259
GM0307,Amersfoort,JA21,2871
GM0307,Amersfoort,PVV (Partij voor de Vrijheid),2678
GM0307,Amersfoort,Partij van de Arbeid (P.v.d.A.),5330
GM0307,Amersfoort,Partij voor de Dieren,4769
GM0307,Amersfoort,SP (Socialistische Partij),2459
GM0307,Amersfoort,Staatkundig Gereformeerde Partij (SGP),963
GM0307,Amersfoort,U26 GEMEENTEN,640
GM0307,Amersfoort,VVD,8365
GM0307,Amersfoort,Volt,3461
GM0307,Amersfoort,ZWARTE PIET IS ZWART,62
GM0308,Baarn,50PLUS,520
GM0308,Baarn,BBB,1571
GM0308,Baarn,Belang van Nederland (BVNL),96
GM0308,Baarn,CDA,980
GM0308,Baarn,ChristenUnie,483
GM0308,Baarn,D66,1165
GM0308,Baarn,DENK,95
GM0308,Baarn,Forum voor Democratie,310
GM0308,Baarn,GROENLINKS,1393
GM0308,Baarn,JA21,634
GM0308,Baarn,PVV (Partij voor de Vrijheid),513
GM0308,Baarn,Partij van de Arbeid (P.v.d.A.),762
GM0308,Baarn,Partij voor de Dieren,732
GM0308,Baarn,SP (Socialistische Partij),298
GM0308,Baarn,Staatkundig Gereformeerde Partij (SGP),171
GM0308,Baarn,U26 GEMEENTEN,99
GM0308,Baarn,VVD,1983
GM0308,Baarn,Volt,548
GM0308,Baarn,ZWARTE PIET IS ZWART,9
GM0310,De Bilt,50PLUS,299
GM0310,De Bilt,BBB,2085
GM0310,De Bilt,Belang van Nederland (BVNL),140
GM0310,De Bilt,CDA,1659
GM0310,De Bilt,ChristenUnie,900
GM0310,De Bilt,D66,2626
GM0310,De Bilt,DENK,140
GM0310,De Bilt,Forum voor Democratie,421
GM0310,De Bilt,GROENLINKS,3585
GM0310,De Bilt,JA21,916
GM0310,De Bilt,PVV (Partij voor de Vrijheid),652
GM0310,De Bilt,Partij van de Arbeid (P.v.d.A.),1552
GM0310,De Bilt,Partij voor de Dieren,1518
GM0310,De Bilt,SP (Socialistische Partij),652
GM0310,De Bilt,Staatkundig Gereformeerde Partij (SGP),883
GM0310,De Bilt,U26 GEMEENTEN,238
GM0310,De Bilt,VVD,3575
GM0310,De Bilt,Volt,976
GM0310,De Bilt,ZWARTE PIET IS ZWART,26
GM0312,Bunnik,50PLUS,124
GM0312,Bunnik,BBB,1267
GM0312,Bunnik,Belang van Nederland (BVNL),52
GM0312,Bunnik,CDA,912
GM0312,Bunnik,ChristenUnie,386
GM0312,Bunnik,D66,994
GM0312,Bunnik,DENK,38
GM0312,Bunnik,Forum voor Democratie,117
GM0312,Bunnik,GROENLINKS,1527
GM0312,Bunnik,JA21,276
GM0312,Bunnik,PVV (Partij voor de Vrijheid),232
GM0312,Bunnik,Partij van de Arbeid (P.v.d.A.),582
GM0312,Bunnik,Partij voor de Dieren,490
GM0312,Bunnik,SP (Socialistische Partij),174
GM0312,Bunnik,Staatkundig Gereformeerde Partij (SGP),154
GM0312,Bunnik,U26 GEMEENTEN,109
GM0312,Bunnik,VVD,1134
GM0312,Bunnik,Volt,404
GM0312,Bunnik,ZWARTE PIET IS ZWART,8
GM0313,Bunschoten,50PLUS,71
GM0313,Bunschoten,BBB,2997
GM0313,Bunschoten,Belang van Nederland (BVNL),100
GM0313,Bunschoten,CDA,1006
GM0313,Bunschoten,ChristenUnie,2112
GM0313,Bunschoten,D66,124
GM0313,Bunschoten,DENK,44
GM0313,Bunschoten,Forum voor Democratie,378
GM0313,Bunschoten,GROENLINKS,178
GM0313,Bunschoten,JA21,694
GM0313,Bunschoten,PVV (Partij voor de Vrijheid),755
GM0313,Bunschoten,Partij van de Arbeid (P.v.d.A.),133
GM0313,Bunschoten,Partij voor de Dieren,83
GM0313,Bunschoten,SP (Socialistische Partij),90
GM0313,Bunschoten,Staatkundig Gereformeerde Partij (SGP),1392
GM0313,Bunschoten,U26 GEMEENTEN,65
GM0313,Bunschoten,VVD,710
GM0313,Bunschoten,Volt,82
GM0313,Bunschoten,ZWARTE PIET IS ZWART,25
GM0317,Eemnes,50PLUS,120
GM0317,Eemnes,BBB,1286
GM0317,Eemnes,Belang van Nederland (BVNL),54
GM0317,Eemnes,CDA,521
GM0317,Eemnes,ChristenUnie,145
GM0317,Eemnes,D66,304
GM0317,Eemnes,DENK,15
GM0317,Eemnes,Forum voor Democratie,163
GM0317,Eemnes,GROENLINKS,355
GM0317,Eemnes,JA21,286
GM0317,Eemnes,PVV (Partij voor de Vrijheid),225
GM0317,Eemnes,Partij van de Arbeid (P.v.d.A.),391
GM0317,Eemnes,Partij voor de Dieren,208
GM0317,Eemnes,SP (Socialistische Partij),116
GM0317,Eemnes,Staatkundig Gereformeerde Partij (SGP),58
GM0317,Eemnes,U26 GEMEENTEN,83
GM0317,Eemnes,VVD,729
GM0317,Eemnes,Volt,128
GM0317,Eemnes,ZWARTE PIET IS ZWART,16
GM0321,Houten,50PLUS,447
GM0321,Houten,BBB,3017
GM0321,Houten,Belang van Nederland (BVNL),187
GM0321,Houten,CDA,2629
GM0321,Houten,ChristenUnie,1702
GM0321,Houten,D66,2435
GM0321,Houten,DENK,148
GM0321,Houten,Forum voor Democratie,451
GM0321,Houten,GROENLINKS,2923
GM0321,Houten,JA21,1189
GM0321,Houten,PVV (Partij voor de Vrijheid),1062
GM0321,Houten,Partij van de Arbeid (P.v.d.A.),1747
GM0321,Houten,Partij voor de Dieren,1129
GM0321,Houten,SP (Socialistische Partij),632
GM0321,Houten,Staatkundig Gereformeerde Partij (SGP),776
GM0321,Houten,U26 GEMEENTEN,314
GM0321,Houten,VVD,3322
GM0321,Houten,Volt,1058
GM0321,Houten,ZWARTE PIET IS ZWART,25
GM0327,Leusden,50PLUS,336
GM0327,Leusden,BBB,2770
GM0327,Leusden,Belang van Nederland (BVNL),126
GM0327,Leusden,CDA,1747
GM0327,Leusden,ChristenUnie,1225
GM0327,Leusden,D66,1441
GM0327,Leusden,DENK,80
GM0327,Leusden,Forum voor Democratie,355
GM0327,Leusden,GROENLINKS,1719
GM0327,Leusden,JA21,797
GM0327,Leusden,PVV (Partij voor de Vrijheid),537
GM0327,Leusden,Partij van de Arbeid (P.v.d.A.),1001
GM0327,Leusden,Partij voor de Dieren,772
GM0327,Leusden,SP (Socialistische Partij),594
GM0327,Leusden,Staatkundig Gereformeerde Partij (SGP),383
GM0327,Leusden,U26 GEMEENTEN,233
GM0327,Leusden,VVD,2202
GM0327,Leusden,Volt,639
GM0327,Leusden,ZWARTE PIET IS ZWART,20
GM0331,Lopik,50PLUS,115
GM0331,Lopik,BBB,2379
GM0331,Lopik,Belang van Nederland (BVNL),76
GM0331,Lopik,CDA,808
GM0331,Lopik,ChristenUnie,455
GM0331,Lopik,D66,174
GM0331,Lopik,DENK,21
GM0331,Lopik,Forum voor Democratie,184
GM0331,Lopik,GROENLINKS,206
GM0331,Lopik,JA21,444
GM0331,Lopik,PVV (Partij voor de Vrijheid),442
GM0331,Lopik,Partij van de Arbeid (P.v.d.A.),278
GM0331,Lopik,Partij voor de Dieren,163
GM0331,Lopik,SP (Socialistische Partij),121
GM0331,Lopik,Staatkundig Gereformeerde Partij (SGP),790
GM0331,Lopik,U26 GEMEENTEN,74
GM0331,Lopik,VVD,739
GM0331,Lopik,Volt,96
GM0331,Lopik,ZWARTE PIET IS ZWART,20
GM0335,Montfoort,50PLUS,142
GM0335,Montfoort,BBB,1813
GM0335,Montfoort,Belang van Nederland (BVNL),72
GM0335,Montfoort,CDA,806
GM0335,Montfoort,ChristenUnie,433
GM0335,Montfoort,D66,406
GM0335,Montfoort,DENK,34
GM0335,Montfoort,Forum voor Democratie,169
GM0335,Montfoort,GROENLINKS,418
GM0335,Montfoort,JA21,470
GM0335,Montfoort,PVV (Partij voor de Vrijheid),339
GM0335,Montfoort,Partij van de Arbeid (P.v.d.A.),330
GM0335,Montfoort,Partij voor de Dieren,169
GM0335,Montfoort,SP (Socialistische Partij),125
GM0335,Montfoort,Staatkundig Gereformeerde Partij (SGP),543
GM0335,Montfoort,U26 GEMEENTEN,111
GM0335,Montfoort,VVD,1013
GM0335,Montfoort,Volt,184
GM0335,Montfoort,ZWARTE PIET IS ZWART,14
GM0339,Renswoude,50PLUS,26
GM0339,Renswoude,BBB,1091
GM0339,Renswoude,Belang van Nederland (BVNL),17
GM0339,Renswoude,CDA,173
GM0339,Renswoude,ChristenUnie,191
GM0339,Renswoude,D66,47
GM0339,Renswoude,DENK,3
GM0339,Renswoude,Forum voor Democratie,55
GM0339,Renswoude,GROENLINKS,52
GM0339,Renswoude,JA21,139
GM0339,Renswoude,PVV (Partij voor de Vrijheid),103
GM0339,Renswoude,Partij van de Arbeid (P.v.d.A.),47
GM0339,Renswoude,Partij voor de Dieren,44
GM0339,Renswoude,SP (Socialistische Partij),26
GM0339,Renswoude,Staatkundig Gereformeerde Partij (SGP),754
GM0339,Renswoude,U26 GEMEENTEN,25
GM0339,Renswoude,VVD,246
GM0339,Renswoude,Volt,34
GM0339,Renswoude,ZWARTE PIET IS ZWART,4
GM0340,Rhenen,50PLUS,144
GM0340,Rhenen,BBB,1787
GM0340,Rhenen,Belang van Nederland (BVNL),80
GM0340,Rhenen,CDA,697
GM0340,Rhenen,ChristenUnie,617
GM0340,Rhenen,D66,520
GM0340,Rhenen,DENK,40
GM0340,Rhenen,Forum voor Democratie,239
GM0340,Rhenen,GROENLINKS,796
GM0340,Rhenen,JA21,482
GM0340,Rhenen,PVV (Partij voor de Vrijheid),452
GM0340,Rhenen,Partij van de Arbeid (P.v.d.A.),532
GM0340,Rhenen,Partij voor de Dieren,342
GM0340,Rhenen,SP (Socialistische Partij),206
GM0340,Rhenen,Staatkundig Gereformeerde Partij (SGP),2024
GM0340,Rhenen,U26 GEMEENTEN,106
GM0340,Rhenen,VVD,1046
GM0340,Rhenen,Volt,187
GM0340,Rhenen,ZWARTE PIET IS ZWART,17
GM0342,Soest,50PLUS,601
GM0342,Soest,BBB,3286
GM0342,Soest,Belang van Nederland (BVNL),220
GM0342,Soest,CDA,1850
GM0342,Soest,ChristenUnie,1093
GM0342,Soest,D66,2006
GM0342,Soest,DENK,284
GM0342,Soest,Forum voor Democratie,528
GM0342,Soest,GROENLINKS,2337
GM0342,Soest,JA21,1361
GM0342,Soest,PVV (Partij voor de Vrijheid),1270
GM0342,Soest,Partij van de Arbeid (P.v.d.A.),1373
GM0342,Soest,Partij voor de Dieren,1410
GM0342,Soest,SP (Socialistische Partij),515
GM0342,Soest,Staatkundig Gereformeerde Partij (SGP),484
GM0342,Soest,U26 GEMEENTEN,323
GM0342,Soest,VVD,3515
GM0342,Soest,Volt,795
GM0342,Soest,ZWARTE PIET IS ZWART,54
GM0344,Utrecht,50PLUS,1473
GM0344,Utrecht,BBB,8252
GM0344,Utrecht,Belang van Nederland (BVNL),724
GM0344,Utrecht,CDA,8510
GM0344,Utrecht,ChristenUnie,5002
GM0344,Utrecht,D66,21729
GM0344,Utrecht,DENK,5390
GM0344,Utrecht,Forum voor Democratie,2202
GM0344,Utrecht,GROENLINKS,35386
GM0344,Utrecht,JA21,4213
GM0344,Utrecht,PVV (Partij voor de Vrijheid),4431
GM0344,Utrecht,Partij van de Arbeid (P.v.d.A.),14850
GM0344,Utrecht,Partij voor de Dieren,13973
GM0344,Utrecht,SP (Socialistische Partij),4016
GM0344,Utrecht,Staatkundig Gereformeerde Partij (SGP),697
GM0344,Utrecht,U26 GEMEENTEN,1232
GM0344,Utrecht,VVD,13928
GM0344,Utrecht,Volt,13461
GM0344,Utrecht,ZWARTE PIET IS ZWART,76
GM0345,Veenendaal,50PLUS,574
GM0345,Veenendaal,BBB,4855
GM0345,Veenendaal,Belang van Nederland (BVNL),241
GM0345,Veenendaal,CDA,2855
GM0345,Veenendaal,ChristenUnie,4448
GM0345,Veenendaal,D66,1004
GM0345,Veenendaal,DENK,303
GM0345,Veenendaal,Forum voor Democratie,798
GM0345,Veenendaal,GROENLINKS,1594
GM0345,Veenendaal,JA21,1427
GM0345,Veenendaal,PVV (Partij voor de Vrijheid),1468
GM0345,Veenendaal,Partij van de Arbeid (P.v.d.A.),1094
GM0345,Veenendaal,Partij voor de Dieren,652
GM0345,Veenendaal,SP (Socialistische Partij),891
GM0345,Veenendaal,Staatkundig Gereformeerde Partij (SGP),4527
GM0345,Veenendaal,U26 GEMEENTEN,571
GM0345,Veenendaal,VVD,3096
GM0345,Veenendaal,Volt,505
GM0345,Veenendaal,ZWARTE PIET IS ZWART,40
GM0351,Woudenberg,50PLUS,113
GM0351,Woudenberg,BBB,1579
GM0351,Woudenberg,Belang van Nederland (BVNL),60
GM0351,Woudenberg,CDA,696
GM0351,Woudenberg,ChristenUnie,569
GM0351,Woudenberg,D66,255
GM0351,Woudenberg,DENK,16
GM0351,Woudenberg,Forum voor Democratie,179
GM0351,Woudenberg,GROENLINKS,394
GM0351,Woudenberg,JA21,258
GM0351,Woudenberg,PVV (Partij voor de Vrijheid),258
GM0351,Woudenberg,Partij van de Arbeid (P.v.d.A.),242
GM0351,Woudenberg,Partij voor de Dieren,213
GM0351,Woudenberg,SP (Socialistische Partij),95
GM0351,Woudenberg,Staatkundig Gereformeerde Partij (SGP),1864
GM0351,Woudenberg,U26 GEMEENTEN,192
GM0351,Woudenberg,VVD,697
GM0351,Woudenberg,Volt,114
GM0351,Woudenberg,ZWARTE PIET IS ZWART,12
GM0352,Wijk bij Duurstede,50PLUS,279
GM0352,Wijk bij Duurstede,BBB,2416
GM0352,Wijk bij Duurstede,Belang van Nederland (BVNL),106
GM0352,Wijk bij Duurstede,CDA,1047
GM0352,Wijk bij Duurstede,ChristenUnie,388
GM0352,Wijk bij Duurstede,D66,731
GM0352,Wijk bij Duurstede,DENK,57
GM0352,Wijk bij Duurstede,Forum voor Democratie,258
GM0352,Wijk bij Duurstede,GROENLINKS,1014
GM0352,Wijk bij Duurstede,JA21,696
GM0352,Wijk bij Duurstede,PVV (Partij voor de Vrijheid),707
GM0352,Wijk bij Duurstede,Partij van de Arbeid (P.v.d.A.),759
GM0352,Wijk bij Duurstede,Partij voor de Dieren,552
GM0352,Wijk bij Duurstede,SP (Socialistische Partij),491
GM0352,Wijk bij Duurstede,Staatkundig Gereformeerde Partij (SGP),487
GM0352,Wijk bij Duurstede,U26 GEMEENTEN,172
GM0352,Wijk bij Duurstede,VVD,1554
GM0352,Wijk bij Duurstede,Volt,328
GM0352,Wijk bij Duurstede,ZWARTE PIET IS ZWART,23
GM0353,IJsselstein,50PLUS,502
GM0353,IJsselstein,BBB,2216
GM0353,IJsselstein,Belang van Nederland (BVNL),119
GM0353,IJsselstein,CDA,1540
GM0353,IJsselstein,ChristenUnie,531
GM0353,IJsselstein,D66,1119
GM0353,IJsselstein,DENK,180
GM0353,IJsselstein,Forum voor Democratie,360
GM0353,IJsselstein,GROENLINKS,1236
GM0353,IJsselstein,JA21,1039
GM0353,IJsselstein,PVV (Partij voor de Vrijheid),927
GM0353,IJsselstein,Partij van de Arbeid (P.v.d.A.),1005
GM0353,IJsselstein,Partij voor de Dieren,549
GM0353,IJsselstein,SP (Socialistische Partij),402
GM0353,IJsselstein,Staatkundig Gereformeerde Partij (SGP),182
GM0353,IJsselstein,U26 GEMEENTEN,193
GM0353,IJsselstein,VVD,2456
GM0353,IJsselstein,Volt,451
GM0353,IJsselstein,ZWARTE PIET IS ZWART,25
GM0355,Zeist,50PLUS,465
GM0355,Zeist,BBB,2650
GM0355,Zeist,Belang van Nederland (BVNL),215
GM0355,Zeist,CDA,2371
GM0355,Zeist,ChristenUnie,1536
GM0355,Zeist,D66,3881
GM0355,Zeist,DENK,295
GM0355,Zeist,Forum voor Democratie,679
GM0355,Zeist,GROENLINKS,4700
GM0355,Zeist,JA21,1301
GM0355,Zeist,PVV (Partij voor de Vrijheid),1181
GM0355,Zeist,Partij van de Arbeid (P.v.d.A.),1904
GM0355,Zeist,Partij voor de Dieren,2079
GM0355,Zeist,SP (Socialistische Partij),805
GM0355,Zeist,Staatkundig Gereformeerde Partij (SGP),611
GM0355,Zeist,U26 GEMEENTEN,571
GM0355,Zeist,VVD,4640
GM0355,Zeist,Volt,1515
GM0355,Zeist,ZWARTE PIET IS ZWART,29
GM0356,Nieuwegein,50PLUS,971
GM0356,Nieuwegein,BBB,3707
GM0356,Nieuwegein,Belang van Nederland (BVNL),256
GM0356,Nieuwegein,CDA,2088
GM0356,Nieuwegein,ChristenUnie,908
GM0356,Nieuwegein,D66,1604
GM0356,Nieuwegein,DENK,388
GM0356,Nieuwegein,Forum voor Democratie,777
GM0356,Nieuwegein,GROENLINKS,2522
GM0356,Nieuwegein,JA21,1618
GM0356,Nieuwegein,PVV (Partij voor de Vrijheid),2265
GM0356,Nieuwegein,Partij van de Arbeid (P.v.d.A.),2347
GM0356,Nieuwegein,Partij voor de Dieren,1147
GM0356,Nieuwegein,SP (Socialistische Partij),1142
GM0356,Nieuwegein,Staatkundig Gereformeerde Partij (SGP),215
GM0356,Nieuwegein,U26 GEMEENTEN,345
GM0356,Nieuwegein,VVD,3488
GM0356,Nieuwegein,Volt,850
GM0356,Nieuwegein,ZWARTE PIET IS ZWART,54
GM0358,Aalsmeer,50PLUS,564
GM0358,Aalsmeer,"AWP voor water, klimaat en natuur",96
GM0358,Aalsmeer,BBB,2422
GM0358,Aalsmeer,Belang van Nederland (BVNL),196
GM0358,Aalsmeer,CDA,1063
GM0358,Aalsmeer,CODE ORANJE,79
GM0358,Aalsmeer,ChristenUnie,664
GM0358,Aalsmeer,D66,815
GM0358,Aalsmeer,DENK,50
GM0358,Aalsmeer,Forum voor Democratie,536
GM0358,Aalsmeer,GROENLINKS,841
GM0358,Aalsmeer,JA21,1274
GM0358,Aalsmeer,Namens Noord-Hollanders.,49
GM0358,Aalsmeer,Nederland met een PLAN (S.V.P.),59
GM0358,Aalsmeer,Onafhankelijke Politiek-NH OPNH,139
GM0358,Aalsmeer,PVV (Partij voor de Vrijheid),782
GM0358,Aalsmeer,Partij van de Arbeid (P.v.d.A.),1070
GM0358,Aalsmeer,Partij voor de Dieren,536
GM0358,Aalsmeer,Piratenpartij,58
GM0358,Aalsmeer,SP (Socialistische Partij),268
GM0358,Aalsmeer,VVD,2598
GM0358,Aalsmeer,Volt,379
GM0361,Alkmaar,50PLUS,1752
GM0361,Alkmaar,"AWP voor water, klimaat en natuur",501
GM0361,Alkmaar,BBB,7380
GM0361,Alkmaar,Belang van Nederland (BVNL),521
GM0361,Alkmaar,CDA,2032
GM0361,Alkmaar,CODE ORANJE,262
GM0361,Alkmaar,ChristenUnie,924
GM0361,Alkmaar,D66,3067
GM0361,Alkmaar,DENK,327
GM0361,Alkmaar,Forum voor Democratie,2116
GM0361,Alkmaar,GROENLINKS,5618
GM0361,Alkmaar,JA21,2580
GM0361,Alkmaar,JEZUS LEEFT,88
GM0361,Alkmaar,Namens Noord-Hollanders.,97
GM0361,Alkmaar,Nederland met een PLAN (S.V.P.),188
GM0361,Alkmaar,Onafhankelijke Politiek-NH OPNH,1106
GM0361,Alkmaar,PVV (Partij voor de Vrijheid),2355
GM0361,Alkmaar,Partij van de Arbeid (P.v.d.A.),5440
GM0361,Alkmaar,Partij voor de Dieren,3503
GM0361,Alkmaar,Piratenpartij,271
GM0361,Alkmaar,SP (Socialistische Partij),2147
GM0361,Alkmaar,VVD,5788
GM0361,Alkmaar,Volt,1592
GM0362,Amstelveen,50PLUS,1242
GM0362,Amstelveen,"AWP voor water, klimaat en natuur",252
GM0362,Amstelveen,BBB,3303
GM0362,Amstelveen,Belang van Nederland (BVNL),385
GM0362,Amstelveen,CDA,1202
GM0362,Amstelveen,CODE ORANJE,84
GM0362,Amstelveen,ChristenUnie,840
GM0362,Amstelveen,D66,3386
GM0362,Amstelveen,DENK,210
GM0362,Amstelveen,Forum voor Democratie,1102
GM0362,Amstelveen,GROENLINKS,3914
GM0362,Amstelveen,JA21,1854
GM0362,Amstelveen,Namens Noord-Hollanders.,80
GM0362,Amstelveen,Nederland met een PLAN (S.V.P.),110
GM0362,Amstelveen,Onafhankelijke Politiek-NH OPNH,232
GM0362,Amstelveen,PVV (Partij voor de Vrijheid),1289
GM0362,Amstelveen,Partij van de Arbeid (P.v.d.A.),4091
GM0362,Amstelveen,Partij voor de Dieren,2169
GM0362,Amstelveen,Piratenpartij,144
GM0362,Amstelveen,SP (Socialistische Partij),1056
GM0362,Amstelveen,VVD,6102
GM0362,Amstelveen,Volt,1804
GM0363,Amsterdam,50PLUS,3960
GM0363,Amsterdam,"AWP voor water, klimaat en natuur",1717
GM0363,Amsterdam,BBB,13982
GM0363,Amsterdam,Belang van Nederland (BVNL),1761
GM0363,Amsterdam,CDA,4325
GM0363,Amsterdam,CODE ORANJE,501
GM0363,Amsterdam,ChristenUnie,3942
GM0363,Amsterdam,D66,29576
GM0363,Amsterdam,DENK,8753
GM0363,Amsterdam,Forum voor Democratie,7760
GM0363,Amsterdam,GROENLINKS,54645
GM0363,Amsterdam,JA21,9114
GM0363,Amsterdam,JEZUS LEEFT,355
GM0363,Amsterdam,Namens Noord-Hollanders.,334
GM0363,Amsterdam,Nederland met een PLAN (S.V.P.),662
GM0363,Amsterdam,Onafhankelijke Politiek-NH OPNH,1102
GM0363,Amsterdam,PVV (Partij voor de Vrijheid),7727
GM0363,Amsterdam,Partij van de Arbeid (P.v.d.A.),46136
GM0363,Amsterdam,Partij voor de Dieren,35257
GM0363,Amsterdam,Piratenpartij,2224
GM0363,Amsterdam,SP (Socialistische Partij),11236
GM0363,Amsterdam,VVD,26601
GM0363,Amsterdam,Volt,23190
GM0373,Bergen (NH.),50PLUS,424
GM0373,Bergen (NH.),"AWP voor water, klimaat en natuur",126
GM0373,Bergen (NH.),BBB,2750
GM0373,Bergen (NH.),Belang van Nederland (BVNL),260
GM0373,Bergen (NH.),CDA,844
GM0373,Bergen (NH.),CODE ORANJE,72
GM0373,Bergen (NH.),ChristenUnie,194
GM0373,Bergen (NH.),D66,1243
GM0373,Bergen (NH.),DENK,12
GM0373,Bergen (NH.),Forum voor Democratie,562
GM0373,Bergen (NH.),GROENLINKS,1482
GM0373,Bergen (NH.),JA21,1097
GM0373,Bergen (NH.),JEZUS LEEFT,22
GM0373,Bergen (NH.),Namens Noord-Hollanders.,70
GM0373,Bergen (NH.),Nederland met een PLAN (S.V.P.),39
GM0373,Bergen (NH.),Onafhankelijke Politiek-NH OPNH,145
GM0373,Bergen (NH.),PVV (Partij voor de Vrijheid),746
GM0373,Bergen (NH.),Partij van de Arbeid (P.v.d.A.),1555
GM0373,Bergen (NH.),Partij voor de Dieren,1377
GM0373,Bergen (NH.),Piratenpartij,45
GM0373,Bergen (NH.),SP (Socialistische Partij),487
GM0373,Bergen (NH.),VVD,2547
GM0373,Bergen (NH.),Volt,476
GM0375,Beverwijk,50PLUS,686
GM0375,Beverwijk,"AWP voor water, klimaat en natuur",144
GM0375,Beverwijk,BBB,2526
GM0375,Beverwijk,Belang van Nederland (BVNL),204
GM0375,Beverwijk,CDA,648
GM0375,Beverwijk,CODE ORANJE,122
GM0375,Beverwijk,ChristenUnie,200
GM0375,Beverwijk,D66,737
GM0375,Beverwijk,DENK,234
GM0375,Beverwijk,Forum voor Democratie,858
GM0375,Beverwijk,GROENLINKS,1451
GM0375,Beverwijk,JA21,1270
GM0375,Beverwijk,Namens Noord-Hollanders.,57
GM0375,Beverwijk,Nederland met een PLAN (S.V.P.),76
GM0375,Beverwijk,Onafhankelijke Politiek-NH OPNH,204
GM0375,Beverwijk,PVV (Partij voor de Vrijheid),1279
GM0375,Beverwijk,Partij van de Arbeid (P.v.d.A.),1410
GM0375,Beverwijk,Partij voor de Dieren,842
GM0375,Beverwijk,Piratenpartij,100
GM0375,Beverwijk,SP (Socialistische Partij),663
GM0375,Beverwijk,VVD,1925
GM0375,Beverwijk,Volt,448
GM0376,Blaricum,50PLUS,139
GM0376,Blaricum,"AWP voor water, klimaat en natuur",40
GM0376,Blaricum,BBB,748
GM0376,Blaricum,Belang van Nederland (BVNL),91
GM0376,Blaricum,CDA,281
GM0376,Blaricum,CODE ORANJE,16
GM0376,Blaricum,ChristenUnie,160
GM0376,Blaricum,D66,490
GM0376,Blaricum,DENK,19
GM0376,Blaricum,Forum voor Democratie,244
GM0376,Blaricum,GROENLINKS,286
GM0376,Blaricum,JA21,501
GM0376,Blaricum,Namens Noord-Hollanders.,5
GM0376,Blaricum,Nederland met een PLAN (S.V.P.),13
GM0376,Blaricum,Onafhankelijke Politiek-NH OPNH,46
GM0376,Blaricum,PVV (Partij voor de Vrijheid),267
GM0376,Blaricum,Partij van de Arbeid (P.v.d.A.),408
GM0376,Blaricum,Partij voor de Dieren,281
GM0376,Blaricum,Piratenpartij,23
GM0376,Blaricum,SP (Socialistische Partij),128
GM0376,Blaricum,VVD,1577
GM0376,Blaricum,Volt,173
GM0377,Bloemendaal,50PLUS,249
